╠Ю╨е,и╚тС,╦Ы╣ы,гциЫ,нфюМ,фЙ╡©,╢╔╦п,цэ╤х,╨╛лгбй,╨ц╧о  
No01,гЮбл,РИкУ,вгоЛ,гЕнЗ,╟╪ощ,с╡╩╛,0.697,0.46,йг  
No02,нз╨з,РИкУ,Ёацф,гЕнЗ,╟╪ощ,с╡╩╛,0.774,0.376,йг  
No03,нз╨з,РИкУ,вгоЛ,гЕнЗ,╟╪ощ,с╡╩╛,0.634,0.264,йг  
No04,гЮбл,РИкУ,Ёацф,гЕнЗ,╟╪ощ,с╡╩╛,0.608,0.318,йг  
No05,гЁ╟в,РИкУ,вгоЛ,гЕнЗ,╟╪ощ,с╡╩╛,0.556,0.215,йг  
No06,гЮбл,итРИ,вгоЛ,гЕнЗ,ит╟╪,хМуЁ,0.403,0.237,йг  
No07,нз╨з,итРИ,вгоЛ,ит╨Щ,ит╟╪,хМуЁ,0.481,0.149,йг  
No08,нз╨з,итРИ,вгоЛ,гЕнЗ,ит╟╪,с╡╩╛,0.437,0.211,йг  
No09,нз╨з,итРИ,Ёацф,ит╨Щ,ит╟╪,с╡╩╛,0.666,0.091,╥Я  
No10,гЮбл,с╡м╕,гЕ╢Ю,гЕнЗ,ф╫л╧,хМуЁ,0.243,0.267,╥Я  
No11,гЁ╟в,с╡м╕,гЕ╢Ю,дё╨Щ,ф╫л╧,с╡╩╛,0.245,0.057,╥Я  
No12,гЁ╟в,РИкУ,вгоЛ,дё╨Щ,ф╫л╧,хМуЁ,0.343,0.099,╥Я  
No13,гЮбл,итРИ,вгоЛ,ит╨Щ,╟╪ощ,с╡╩╛,0.639,0.161,╥Я  
No14,гЁ╟в,итРИ,Ёацф,ит╨Щ,╟╪ощ,с╡╩╛,0.657,0.198,╥Я  
No15,нз╨з,итРИ,вгоЛ,гЕнЗ,ит╟╪,хМуЁ,0.36,0.37,╥Я  
No16,гЁ╟в,РИкУ,вгоЛ,дё╨Щ,ф╫л╧,с╡╩╛,0.593,0.042,╥Я  
No17,гЮбл,РИкУ,Ёацф,ит╨Щ,ит╟╪,с╡╩╛,0.719,0.103,╥Я
